반,성명,성별,정보(반)
4,김영현,남,F
1,윤영지,여,F
5,강혜태,남,F
6,임철민,남,F
9,강명호,남,G
1,김명희,여,F
8,장수재,남,G
1,최수호,남,F
5,조혜호,남,G
2,최현경,남,F
1,박준아,여,F
5,최준나,여,E
2,장현혁,남,F
6,박지진,여,E
6,장경나,여,F
3,강승수,여,F
4,김경성,남,G
8,윤수은,여,E
6,장경선,여,G
9,장경진,여,G
9,조혜아,여,E
7,장혜성,남,F
8,강준아,여,F
7,김명현,남,G
5,정경아,여,F
3,정경경,남,E
8,임경수,여,E
2,김혜우,남,E
9,강지호,남,F
3,강철재,남,E
6,박명선,여,F
8,윤수영,여,E
5,이영수,여,E
2,장지태,남,E
3,이영우,남,F
4,최경지,여,F
5,장철미,여,E
8,윤지선,여,F
3,조영미,여,G
6,강지우,남,F
9,윤수은,여,G
3,강혜희,여,G
3,최지호,남,F
6,이승호,남,G
9,장현재,남,F
5,장승미,여,E
3,장혜아,여,F
5,임승아,여,E
5,임혜성,남,E
6,조명희,여,F
6,장경민,남,F
1,윤경미,여,F
6,김영우,남,E
2,최경혁,남,E
8,박현경,남,E
2,조영혁,남,F
3,김명영,여,G
1,조명진,여,G
8,임현아,여,G
9,조경혁,남,G
6,김영준,남,E
6,윤경태,남,E
8,조준경,남,F
5,박현준,남,G
4,정경미,여,G
3,조철민,남,F
6,강수아,여,F
9,임현선,여,F
8,박혜나,여,F
9,김경지,여,G
8,윤수희,여,F
6,이영진,여,E
1,강명태,남,F
7,장지민,남,F
3,윤현진,여,E
9,최승선,여,E
7,박명선,여,E
8,임혜태,남,G
7,강지혁,남,E
9,이준현,남,E
